id,block_name,week_start_date,week_number,day_number,workout_date,exercise_name,record_type,sets,reps,load,load_instruction,rpe,notes,processed_at
Block1_HighbarSquats_w1_d1_prescribed_1751436330610,Block 1,3/8/2022,1,1,3/8/2022,Highbar Squats,prescribed,3,up to RPE,,305,7,,2025-07-02T06:05:30.610654400+00:00
Block1_HighbarSquats_w1_d1_actual_1751436330610,Block 1,3/8/2022,1,1,3/8/2022,Highbar Squats,actual,3,6,305,,7,Been long time since I did highbar squats. Prolly went deeper than I needed,2025-07-02T06:05:30.610660700+00:00
Block1_T&GBenchPress_w1_d1_prescribed_1751436330610,Block 1,3/8/2022,1,1,3/8/2022,T&G Bench Press,prescribed,1,2,,find,7,,2025-07-02T06:05:30.610664600+00:00
Block1_T&GBenchPress_w1_d1_actual_1751436330610,Block 1,3/8/2022,1,1,3/8/2022,T&G Bench Press,actual,1,2,275,,7,TNg felt fast.,2025-07-02T06:05:30.610667500+00:00
Block1_T&GBenchPress_w1_d1_prescribed_1751436330610,Block 1,3/8/2022,1,1,3/8/2022,T&G Bench Press,prescribed,3,8,,base on above,5.5,,2025-07-02T06:05:30.610670200+00:00
Block1_T&GBenchPress_w1_d1_actual_1751436330610,Block 1,3/8/2022,1,1,3/8/2022,T&G Bench Press,actual,3,8,215,,5,Used calc off 275 to get 215,2025-07-02T06:05:30.610672900+00:00
Block1_Pullups_w1_d1_prescribed_1751436330610,Block 1,3/8/2022,1,1,3/8/2022,Pullups,prescribed,3,up to RPE,,bw,8,,2025-07-02T06:05:30.610677700+00:00
Block1_Pullups_w1_d1_actual_1751436330610,Block 1,3/8/2022,1,1,3/8/2022,Pullups,actual,3,10,,,8,Got 12-10-10,2025-07-02T06:05:30.610680300+00:00
Block1_BulgarianSplitSquats_w1_d1_prescribed_1751436330610,Block 1,3/8/2022,1,1,3/8/2022,Bulgarian Split Squats,prescribed,2,12-15,,,7,,2025-07-02T06:05:30.610683400+00:00
Block1_BulgarianSplitSquats_w1_d1_actual_1751436330610,Block 1,3/8/2022,1,1,3/8/2022,Bulgarian Split Squats,actual,2,12,35,,,35lb in ea hand,2025-07-02T06:05:30.610686600+00:00
Block1_HangingLegRaises_w1_d1_prescribed_1751436330610,Block 1,3/8/2022,1,1,3/8/2022,Hanging Leg Raises,prescribed,3,6-12,,,7,,2025-07-02T06:05:30.610689800+00:00
Block1_HangingLegRaises_w1_d1_actual_1751436330610,Block 1,3/8/2022,1,1,3/8/2022,Hanging Leg Raises,actual,3,10,,,,,2025-07-02T06:05:30.610692600+00:00
Block1_1sPauseDeadlift_w1_d2_prescribed_1751436330610,Block 1,3/8/2022,1,2,3/9/2022,1s Pause Deadlift,prescribed,3,5,,305,4-5,,2025-07-02T06:05:30.610700800+00:00
Block1_1sPauseDeadlift_w1_d2_actual_1751436330610,Block 1,3/8/2022,1,2,3/9/2022,1s Pause Deadlift,actual,3,5,315,,5,Paused just below knee,2025-07-02T06:05:30.610703700+00:00
Block1_DBRDLs_w1_d2_prescribed_1751436330610,Block 1,3/8/2022,1,2,3/9/2022,DB RDLs,prescribed,3,8-12,,,7,,2025-07-02T06:05:30.610706300+00:00
Block1_DBRDLs_w1_d2_actual_1751436330610,Block 1,3/8/2022,1,2,3/9/2022,DB RDLs,actual,3,10,70,,7,,2025-07-02T06:05:30.610708800+00:00
Block1_CableRows_w1_d2_prescribed_1751436330610,Block 1,3/8/2022,1,2,3/9/2022,Cable Rows,prescribed,3,8-12,,,7,,2025-07-02T06:05:30.610711400+00:00
Block1_CableRows_w1_d2_actual_1751436330610,Block 1,3/8/2022,1,2,3/9/2022,Cable Rows,actual,4,12,90,,7,,2025-07-02T06:05:30.610714200+00:00
Block1_a1)CableBicepCurls_w1_d2_prescribed_1751436330610,Block 1,3/8/2022,1,2,3/9/2022,a1) Cable Bicep Curls,prescribed,3,12-15,,,7,,2025-07-02T06:05:30.610719500+00:00
Block1_a1)CableBicepCurls_w1_d2_actual_1751436330610,Block 1,3/8/2022,1,2,3/9/2022,a1) Cable Bicep Curls,actual,4,12,40,,7,,2025-07-02T06:05:30.610722400+00:00
Block1_a2)RopeTricepExtensions_w1_d2_prescribed_1751436330610,Block 1,3/8/2022,1,2,3/9/2022,a2) Rope Tricep Extensions,prescribed,3,12-15,,,7,,2025-07-02T06:05:30.610725500+00:00
Block1_a2)RopeTricepExtensions_w1_d2_actual_1751436330610,Block 1,3/8/2022,1,2,3/9/2022,a2) Rope Tricep Extensions,actual,4,12,60,,7,,2025-07-02T06:05:30.610728300+00:00
Block1_a3)DBLateralRaises_w1_d2_prescribed_1751436330610,Block 1,3/8/2022,1,2,3/9/2022,a3) DB Lateral Raises,prescribed,3,12-15,,,7,,2025-07-02T06:05:30.610731100+00:00
Block1_a3)DBLateralRaises_w1_d2_actual_1751436330610,Block 1,3/8/2022,1,2,3/9/2022,a3) DB Lateral Raises,actual,3,12,12,,7,,2025-07-02T06:05:30.610734+00:00
Block1_LowBarSquatswbelt_w1_d4_prescribed_1751436330610,Block 1,3/8/2022,1,4,3/11/2022,Low Bar Squats w/belt,prescribed,1,2,,find,7,,2025-07-02T06:05:30.610745300+00:00
Block1_LowBarSquatswbelt_w1_d4_actual_1751436330610,Block 1,3/8/2022,1,4,3/11/2022,Low Bar Squats w/belt,actual,1,2,375,,7.5,Feelin a bit sore today. Have video of this one,2025-07-02T06:05:30.610748600+00:00
Block1_LowBarSquatswbelt_w1_d4_prescribed_1751436330610,Block 1,3/8/2022,1,4,3/11/2022,Low Bar Squats w/belt,prescribed,3,6,,base on above,5,,2025-07-02T06:05:30.610751900+00:00
Block1_LowBarSquatswbelt_w1_d4_actual_1751436330610,Block 1,3/8/2022,1,4,3/11/2022,Low Bar Squats w/belt,actual,3,6,315,,5.5,,2025-07-02T06:05:30.610754900+00:00
Block1_1sPauseBenchPress_w1_d4_prescribed_1751436330610,Block 1,3/8/2022,1,4,3/11/2022,1s Pause Bench Press,prescribed,4,up to RPE,,230,7,,2025-07-02T06:05:30.610757900+00:00
Block1_1sPauseBenchPress_w1_d4_actual_1751436330610,Block 1,3/8/2022,1,4,3/11/2022,1s Pause Bench Press,actual,4,8,230,,7.5,Started at rpe 7. Maybe felt like an rpe 8 on last set,2025-07-02T06:05:30.610760700+00:00
Block1_UnilateralBarbellRows_w1_d4_prescribed_1751436330610,Block 1,3/8/2022,1,4,3/11/2022,Unilateral Barbell Rows,prescribed,2,15-20,,,7,,2025-07-02T06:05:30.610763700+00:00
Block1_UnilateralBarbellRows_w1_d4_actual_1751436330610,Block 1,3/8/2022,1,4,3/11/2022,Unilateral Barbell Rows,actual,2,15,115,,,,2025-07-02T06:05:30.610766500+00:00
Block1_Dips_w1_d4_prescribed_1751436330610,Block 1,3/8/2022,1,4,3/11/2022,Dips,prescribed,3,15-20,,,7,,2025-07-02T06:05:30.610769+00:00
Block1_Dips_w1_d4_actual_1751436330610,Block 1,3/8/2022,1,4,3/11/2022,Dips,actual,2,15,,,,,2025-07-02T06:05:30.610771300+00:00
Block1_HighbarSquats_w1_d1_prescribed_1751436330610,Block 1,430/315/450,1,1,430/315/450,Highbar Squats,prescribed,,Highbar Squats,,3,up to RPE,,2025-07-02T06:05:30.610782700+00:00
Block1_HighbarSquats_w1_d1_actual_1751436330610,Block 1,430/315/450,1,1,430/315/450,Highbar Squats,actual,,310,7,,3,6,2025-07-02T06:05:30.610785400+00:00
Block1_T&GBenchPress_w1_d1_prescribed_1751436330610,Block 1,430/315/450,1,1,430/315/450,T&G Bench Press,prescribed,,T&G Bench Press,,1,2,,2025-07-02T06:05:30.610788100+00:00
Block1_T&GBenchPress_w1_d1_actual_1751436330610,Block 1,430/315/450,1,1,430/315/450,T&G Bench Press,actual,,280,7,,1,2,2025-07-02T06:05:30.610790900+00:00
Block1_T&GBenchPress_w1_d1_prescribed_1751436330610,Block 1,430/315/450,1,1,430/315/450,T&G Bench Press,prescribed,,T&G Bench Press,,3,8,,2025-07-02T06:05:30.610794400+00:00
Block1_T&GBenchPress_w1_d1_actual_1751436330610,Block 1,430/315/450,1,1,430/315/450,T&G Bench Press,actual,,220,6,,3,8,2025-07-02T06:05:30.610797100+00:00
Block1_Pullups_w1_d1_prescribed_1751436330610,Block 1,430/315/450,1,1,430/315/450,Pullups,prescribed,,Pullups,,3,up to RPE,,2025-07-02T06:05:30.610799500+00:00
Block1_Pullups_w1_d1_actual_1751436330610,Block 1,430/315/450,1,1,430/315/450,Pullups,actual,,Bw,8,,3,10,2025-07-02T06:05:30.610801900+00:00
Block1_BulgarianSplitSquats_w1_d1_prescribed_1751436330610,Block 1,430/315/450,1,1,430/315/450,Bulgarian Split Squats,prescribed,,Bulgarian Split Squats,,2,12-15,,2025-07-02T06:05:30.610805700+00:00
Block1_BulgarianSplitSquats_w1_d1_actual_1751436330610,Block 1,430/315/450,1,1,430/315/450,Bulgarian Split Squats,actual,,35,7,,2,12,2025-07-02T06:05:30.610808500+00:00
Block1_HangingLegRaises_w1_d1_prescribed_1751436330610,Block 1,430/315/450,1,1,430/315/450,Hanging Leg Raises,prescribed,,Hanging Leg Raises,,3,6-12,,2025-07-02T06:05:30.610811700+00:00
Block1_HangingLegRaises_w1_d1_actual_1751436330610,Block 1,430/315/450,1,1,430/315/450,Hanging Leg Raises,actual,,,7,,2,12,2025-07-02T06:05:30.610814300+00:00
Block1_1sPauseDeadlift_w1_d2_prescribed_1751436330610,Block 1,430/315/450,1,2,430/315/450,1s Pause Deadlift,prescribed,,1s Pause Deadlift *pause right off ground,,3,5,,2025-07-02T06:05:30.610819700+00:00
Block1_1sPauseDeadlift_w1_d2_actual_1751436330610,Block 1,430/315/450,1,2,430/315/450,1s Pause Deadlift,actual,,305,5,,3,5,2025-07-02T06:05:30.610822300+00:00
Block1_DBRDLs_w1_d2_prescribed_1751436330610,Block 1,430/315/450,1,2,430/315/450,DB RDLs,prescribed,,DB RDLs,,3,8-12,,2025-07-02T06:05:30.610824900+00:00
Block1_DBRDLs_w1_d2_actual_1751436330610,Block 1,430/315/450,1,2,430/315/450,DB RDLs,actual,,70,7,,3,10,2025-07-02T06:05:30.610827400+00:00
Block1_CableRows_w1_d2_prescribed_1751436330610,Block 1,430/315/450,1,2,430/315/450,Cable Rows,prescribed,,Cable Rows,,4,8-12,,2025-07-02T06:05:30.610830200+00:00
Block1_CableRows_w1_d2_actual_1751436330610,Block 1,430/315/450,1,2,430/315/450,Cable Rows,actual,,110,7,,4,12,2025-07-02T06:05:30.610832700+00:00
Block1_a1)CableBicepCurls_w1_d2_prescribed_1751436330610,Block 1,430/315/450,1,2,430/315/450,a1) Cable Bicep Curls,prescribed,,a1) Cable Bicep Curls,,3,12-15,,2025-07-02T06:05:30.610836300+00:00
Block1_a1)CableBicepCurls_w1_d2_actual_1751436330610,Block 1,430/315/450,1,2,430/315/450,a1) Cable Bicep Curls,actual,,40,7,,3,12,2025-07-02T06:05:30.610839100+00:00
Block1_a2)RopeTricepExtensions_w1_d2_prescribed_1751436330610,Block 1,430/315/450,1,2,430/315/450,a2) Rope Tricep Extensions,prescribed,,a2) Rope Tricep Extensions,,3,12-15,,2025-07-02T06:05:30.610842200+00:00
Block1_a2)RopeTricepExtensions_w1_d2_actual_1751436330610,Block 1,430/315/450,1,2,430/315/450,a2) Rope Tricep Extensions,actual,,50,7,,3,12,2025-07-02T06:05:30.610845+00:00
Block1_a3)DBLateralRaises_w1_d2_prescribed_1751436330610,Block 1,430/315/450,1,2,430/315/450,a3) DB Lateral Raises,prescribed,,a3) DB Lateral Raises,,3,12-15,,2025-07-02T06:05:30.610847900+00:00
Block1_a3)DBLateralRaises_w1_d2_actual_1751436330610,Block 1,430/315/450,1,2,430/315/450,a3) DB Lateral Raises,actual,,12,7,,3,12,2025-07-02T06:05:30.610850700+00:00
Block1_LowBarSquatswbelt_w1_d4_prescribed_1751436330610,Block 1,430/315/450,1,4,430/315/450,Low Bar Squats w/belt,prescribed,,Low Bar Squats w/belt *video,,1,2,,2025-07-02T06:05:30.610857300+00:00
Block1_LowBarSquatswbelt_w1_d4_actual_1751436330610,Block 1,430/315/450,1,4,430/315/450,Low Bar Squats w/belt,actual,,385,7,,1,2,2025-07-02T06:05:30.610860300+00:00
Block1_LowBarSquatswbelt_w1_d4_prescribed_1751436330610,Block 1,430/315/450,1,4,430/315/450,Low Bar Squats w/belt,prescribed,,Low Bar Squats w/belt,,3,6,,2025-07-02T06:05:30.610863300+00:00
Block1_LowBarSquatswbelt_w1_d4_actual_1751436330610,Block 1,430/315/450,1,4,430/315/450,Low Bar Squats w/belt,actual,,320,5.5,,3,6,2025-07-02T06:05:30.610868800+00:00
Block1_1sPauseBenchPress_w1_d4_prescribed_1751436330610,Block 1,430/315/450,1,4,430/315/450,1s Pause Bench Press,prescribed,,1s Pause Bench Press,,4,up to RPE,,2025-07-02T06:05:30.610871800+00:00
Block1_1sPauseBenchPress_w1_d4_actual_1751436330610,Block 1,430/315/450,1,4,430/315/450,1s Pause Bench Press,actual,,235,7,,4,7,2025-07-02T06:05:30.610874600+00:00
Block1_UnilateralBarbellRows_w1_d4_prescribed_1751436330610,Block 1,430/315/450,1,4,430/315/450,Unilateral Barbell Rows,prescribed,,Unilateral Barbell Rows,,2,15-20,,2025-07-02T06:05:30.610877500+00:00
Block1_UnilateralBarbellRows_w1_d4_actual_1751436330610,Block 1,430/315/450,1,4,430/315/450,Unilateral Barbell Rows,actual,,55,7,,3,15,2025-07-02T06:05:30.610880100+00:00
Block1_Dips_w1_d4_prescribed_1751436330610,Block 1,430/315/450,1,4,430/315/450,Dips,prescribed,,Dips,,3,15-20,,2025-07-02T06:05:30.610888700+00:00
Block1_Dips_w1_d4_actual_1751436330610,Block 1,430/315/450,1,4,430/315/450,Dips,actual,,Bw,7,,3,17,2025-07-02T06:05:30.610891+00:00
Block1_HighbarSquats_w2_d1_prescribed_1751436330610,Block 1,3/15/2022,2,1,3/15/2022,Highbar Squats,prescribed,3,up to RPE,,310,7,,2025-07-02T06:05:30.610897800+00:00
Block1_HighbarSquats_w2_d1_actual_1751436330610,Block 1,3/15/2022,2,1,3/15/2022,Highbar Squats,actual,3,6,310,,7,Wore oly shoes instead of flats,2025-07-02T06:05:30.610900600+00:00
Block1_T&GBenchPress_w2_d1_prescribed_1751436330610,Block 1,3/15/2022,2,1,3/15/2022,T&G Bench Press,prescribed,1,2,,find,7,,2025-07-02T06:05:30.610903300+00:00
Block1_T&GBenchPress_w2_d1_actual_1751436330610,Block 1,3/15/2022,2,1,3/15/2022,T&G Bench Press,actual,1,2,280,,7,,2025-07-02T06:05:30.610905900+00:00
Block1_T&GBenchPress_w2_d1_prescribed_1751436330610,Block 1,3/15/2022,2,1,3/15/2022,T&G Bench Press,prescribed,3,8,,base on above,6,,2025-07-02T06:05:30.610908400+00:00
Block1_T&GBenchPress_w2_d1_actual_1751436330610,Block 1,3/15/2022,2,1,3/15/2022,T&G Bench Press,actual,3,8,220,,6,,2025-07-02T06:05:30.610911+00:00
Block1_Pullups_w2_d1_prescribed_1751436330610,Block 1,3/15/2022,2,1,3/15/2022,Pullups,prescribed,3,up to RPE,,bw,8,,2025-07-02T06:05:30.610913300+00:00
Block1_Pullups_w2_d1_actual_1751436330610,Block 1,3/15/2022,2,1,3/15/2022,Pullups,actual,3,10,,,7,,2025-07-02T06:05:30.610915700+00:00
Block1_BulgarianSplitSquats_w2_d1_prescribed_1751436330610,Block 1,3/15/2022,2,1,3/15/2022,Bulgarian Split Squats,prescribed,2,12-15,,,7,,2025-07-02T06:05:30.610918400+00:00
Block1_BulgarianSplitSquats_w2_d1_actual_1751436330610,Block 1,3/15/2022,2,1,3/15/2022,Bulgarian Split Squats,actual,2,12,35,,7,,2025-07-02T06:05:30.610921200+00:00
Block1_HangingLegRaises_w2_d1_prescribed_1751436330610,Block 1,3/15/2022,2,1,3/15/2022,Hanging Leg Raises,prescribed,3,6-12,,,7,,2025-07-02T06:05:30.610923800+00:00
Block1_HangingLegRaises_w2_d1_actual_1751436330610,Block 1,3/15/2022,2,1,3/15/2022,Hanging Leg Raises,actual,2,12,,,,,2025-07-02T06:05:30.610926700+00:00
Block1_1sPauseDeadlift_w2_d2_prescribed_1751436330610,Block 1,3/15/2022,2,2,3/16/2022,1s Pause Deadlift,prescribed,3,5,,310,5,,2025-07-02T06:05:30.610932200+00:00
Block1_1sPauseDeadlift_w2_d2_actual_1751436330610,Block 1,3/15/2022,2,2,3/16/2022,1s Pause Deadlift,actual,3,5,305,,5,Messed up loading was 305 not 310,2025-07-02T06:05:30.610935+00:00
Block1_DBRDLs_w2_d2_prescribed_1751436330610,Block 1,3/15/2022,2,2,3/16/2022,DB RDLs,prescribed,3,8-12,,,7,,2025-07-02T06:05:30.610938400+00:00
Block1_DBRDLs_w2_d2_actual_1751436330610,Block 1,3/15/2022,2,2,3/16/2022,DB RDLs,actual,3,10,70,,7,,2025-07-02T06:05:30.610940800+00:00
Block1_CableRows_w2_d2_prescribed_1751436330610,Block 1,3/15/2022,2,2,3/16/2022,Cable Rows,prescribed,4,8-12,,,7,,2025-07-02T06:05:30.610943400+00:00
Block1_CableRows_w2_d2_actual_1751436330610,Block 1,3/15/2022,2,2,3/16/2022,Cable Rows,actual,4,12,110,,7,,2025-07-02T06:05:30.610945900+00:00
Block1_a1)CableBicepCurls_w2_d2_prescribed_1751436330610,Block 1,3/15/2022,2,2,3/16/2022,a1) Cable Bicep Curls,prescribed,3,12-15,,,7,,2025-07-02T06:05:30.610948800+00:00
Block1_a1)CableBicepCurls_w2_d2_actual_1751436330610,Block 1,3/15/2022,2,2,3/16/2022,a1) Cable Bicep Curls,actual,3,12,40,,7,,2025-07-02T06:05:30.610951500+00:00
Block1_a2)RopeTricepExtensions_w2_d2_prescribed_1751436330610,Block 1,3/15/2022,2,2,3/16/2022,a2) Rope Tricep Extensions,prescribed,3,12-15,,,7,,2025-07-02T06:05:30.610954400+00:00
Block1_a2)RopeTricepExtensions_w2_d2_actual_1751436330610,Block 1,3/15/2022,2,2,3/16/2022,a2) Rope Tricep Extensions,actual,3,12,50,,7,,2025-07-02T06:05:30.610957100+00:00
Block1_a3)DBLateralRaises_w2_d2_prescribed_1751436330610,Block 1,3/15/2022,2,2,3/16/2022,a3) DB Lateral Raises,prescribed,3,12-15,,,7,,2025-07-02T06:05:30.610959900+00:00
Block1_a3)DBLateralRaises_w2_d2_actual_1751436330610,Block 1,3/15/2022,2,2,3/16/2022,a3) DB Lateral Raises,actual,3,12,12,,7,Cable lateral raise,2025-07-02T06:05:30.610962800+00:00
Block1_LowBarSquatswbelt_w2_d4_prescribed_1751436330610,Block 1,3/15/2022,2,4,3/18/2022,Low Bar Squats w/belt,prescribed,1,2,,find,7,,2025-07-02T06:05:30.610969300+00:00
Block1_LowBarSquatswbelt_w2_d4_actual_1751436330610,Block 1,3/15/2022,2,4,3/18/2022,Low Bar Squats w/belt,actual,1,2,385,,7-8,Wasn't to sure on rpe felt fairly easy for 2. Recorded it,2025-07-02T06:05:30.610972200+00:00
Block1_LowBarSquatswbelt_w2_d4_prescribed_1751436330610,Block 1,3/15/2022,2,4,3/18/2022,Low Bar Squats w/belt,prescribed,3,6,,base on above,5.5,,2025-07-02T06:05:30.610975300+00:00
Block1_LowBarSquatswbelt_w2_d4_actual_1751436330610,Block 1,3/15/2022,2,4,3/18/2022,Low Bar Squats w/belt,actual,3,6,320,,5.5,,2025-07-02T06:05:30.610978300+00:00
Block1_1sPauseBenchPress_w2_d4_prescribed_1751436330610,Block 1,3/15/2022,2,4,3/18/2022,1s Pause Bench Press,prescribed,4,up to RPE,,235,7,,2025-07-02T06:05:30.610982700+00:00
Block1_1sPauseBenchPress_w2_d4_actual_1751436330610,Block 1,3/15/2022,2,4,3/18/2022,1s Pause Bench Press,actual,4,7,235,,7,,2025-07-02T06:05:30.610985400+00:00
Block1_UnilateralBarbellRows_w2_d4_prescribed_1751436330610,Block 1,3/15/2022,2,4,3/18/2022,Unilateral Barbell Rows,prescribed,2,15-20,,,7,,2025-07-02T06:05:30.610988200+00:00
Block1_UnilateralBarbellRows_w2_d4_actual_1751436330610,Block 1,3/15/2022,2,4,3/18/2022,Unilateral Barbell Rows,actual,3,15,55,,7,Db unilateral row,2025-07-02T06:05:30.610991+00:00
Block1_Dips_w2_d4_prescribed_1751436330610,Block 1,3/15/2022,2,4,3/18/2022,Dips,prescribed,3,15-20,,,7,,2025-07-02T06:05:30.610993200+00:00
Block1_Dips_w2_d4_actual_1751436330610,Block 1,3/15/2022,2,4,3/18/2022,Dips,actual,3,17,,,7,15-17-20 reps,2025-07-02T06:05:30.610995600+00:00
Block1_HighbarSquats_w1_d1_prescribed_1751436330611,Block 1,430/315/450,1,1,430/315/450,Highbar Squats,prescribed,,Highbar Squats,,3,up to RPE,,2025-07-02T06:05:30.611002+00:00
Block1_HighbarSquats_w1_d1_actual_1751436330611,Block 1,430/315/450,1,1,430/315/450,Highbar Squats,actual,,315,7,,3,6,2025-07-02T06:05:30.611004500+00:00
Block1_T&GBenchPress_w1_d1_prescribed_1751436330611,Block 1,430/315/450,1,1,430/315/450,T&G Bench Press,prescribed,,T&G Bench Press,,1,2,,2025-07-02T06:05:30.611007100+00:00
Block1_T&GBenchPress_w1_d1_actual_1751436330611,Block 1,430/315/450,1,1,430/315/450,T&G Bench Press,actual,,300,8,,1,2,2025-07-02T06:05:30.611009700+00:00
Block1_T&GBenchPress_w1_d1_prescribed_1751436330611,Block 1,430/315/450,1,1,430/315/450,T&G Bench Press,prescribed,,T&G Bench Press,,3,8,,2025-07-02T06:05:30.611012300+00:00
Block1_T&GBenchPress_w1_d1_actual_1751436330611,Block 1,430/315/450,1,1,430/315/450,T&G Bench Press,actual,,230,6.5,,3,8,2025-07-02T06:05:30.611015+00:00
Block1_Pullups_w1_d1_prescribed_1751436330611,Block 1,430/315/450,1,1,430/315/450,Pullups,prescribed,,Pullups,,3,up to RPE,,2025-07-02T06:05:30.611017300+00:00
Block1_Pullups_w1_d1_actual_1751436330611,Block 1,430/315/450,1,1,430/315/450,Pullups,actual,,Bw,8,,3,11,2025-07-02T06:05:30.611019700+00:00
Block1_BulgarianSplitSquats_w1_d1_prescribed_1751436330611,Block 1,430/315/450,1,1,430/315/450,Bulgarian Split Squats,prescribed,,Bulgarian Split Squats,,2,12-15,,2025-07-02T06:05:30.611023400+00:00
Block1_BulgarianSplitSquats_w1_d1_actual_1751436330611,Block 1,430/315/450,1,1,430/315/450,Bulgarian Split Squats,actual,,35,7,,2,12,2025-07-02T06:05:30.611026300+00:00
Block1_HangingLegRaises_w1_d1_prescribed_1751436330611,Block 1,430/315/450,1,1,430/315/450,Hanging Leg Raises,prescribed,,Hanging Leg Raises,,3,6-12,,2025-07-02T06:05:30.611028900+00:00
Block1_HangingLegRaises_w1_d1_actual_1751436330611,Block 1,430/315/450,1,1,430/315/450,Hanging Leg Raises,actual,,,7,,3,10,2025-07-02T06:05:30.611031600+00:00
Block1_1sPauseDeadlift_w1_d2_prescribed_1751436330611,Block 1,430/315/450,1,2,430/315/450,1s Pause Deadlift,prescribed,,1s Pause Deadlift *pause right off ground,,3,5,,2025-07-02T06:05:30.611037+00:00
Block1_1sPauseDeadlift_w1_d2_actual_1751436330611,Block 1,430/315/450,1,2,430/315/450,1s Pause Deadlift,actual,,314,5.5,,3,5,2025-07-02T06:05:30.611040+00:00
Block1_DBRDLs_w1_d2_prescribed_1751436330611,Block 1,430/315/450,1,2,430/315/450,DB RDLs,prescribed,,DB RDLs,,3,8-12,,2025-07-02T06:05:30.611042400+00:00
Block1_DBRDLs_w1_d2_actual_1751436330611,Block 1,430/315/450,1,2,430/315/450,DB RDLs,actual,,55,7,,3,15,2025-07-02T06:05:30.611044900+00:00
Block1_CableRows_w1_d2_prescribed_1751436330611,Block 1,430/315/450,1,2,430/315/450,Cable Rows,prescribed,,Cable Rows,,4,8-12,,2025-07-02T06:05:30.611047500+00:00
Block1_CableRows_w1_d2_actual_1751436330611,Block 1,430/315/450,1,2,430/315/450,Cable Rows,actual,,110,7,,3,12,2025-07-02T06:05:30.611050100+00:00
Block1_a1)CableBicepCurls_w1_d2_prescribed_1751436330611,Block 1,430/315/450,1,2,430/315/450,a1) Cable Bicep Curls,prescribed,,a1) Cable Bicep Curls,,3,12-15,,2025-07-02T06:05:30.611053+00:00
Block1_a1)CableBicepCurls_w1_d2_actual_1751436330611,Block 1,430/315/450,1,2,430/315/450,a1) Cable Bicep Curls,actual,,35,7,,3,10,2025-07-02T06:05:30.611055800+00:00
Block1_a2)RopeTricepExtensions_w1_d2_prescribed_1751436330611,Block 1,430/315/450,1,2,430/315/450,a2) Rope Tricep Extensions,prescribed,,a2) Rope Tricep Extensions,,3,12-15,,2025-07-02T06:05:30.611058600+00:00
Block1_a2)RopeTricepExtensions_w1_d2_actual_1751436330611,Block 1,430/315/450,1,2,430/315/450,a2) Rope Tricep Extensions,actual,,25,7,,3,12,2025-07-02T06:05:30.611061400+00:00
Block1_a3)DBLateralRaises_w1_d2_prescribed_1751436330611,Block 1,430/315/450,1,2,430/315/450,a3) DB Lateral Raises,prescribed,,a3) DB Lateral Raises,,3,12-15,,2025-07-02T06:05:30.611064300+00:00
Block1_a3)DBLateralRaises_w1_d2_actual_1751436330611,Block 1,430/315/450,1,2,430/315/450,a3) DB Lateral Raises,actual,,10,7,,3,15,2025-07-02T06:05:30.611067200+00:00
Block1_LowBarSquatswbelt_w1_d4_prescribed_1751436330611,Block 1,430/315/450,1,4,430/315/450,Low Bar Squats w/belt,prescribed,,Low Bar Squats w/belt *video and text me,,1,2,,2025-07-02T06:05:30.611073700+00:00
Block1_LowBarSquatswbelt_w1_d4_actual_1751436330611,Block 1,430/315/450,1,4,430/315/450,Low Bar Squats w/belt,actual,,389,8,,1,2,2025-07-02T06:05:30.611076700+00:00
Block1_LowBarSquatswbelt_w1_d4_prescribed_1751436330611,Block 1,430/315/450,1,4,430/315/450,Low Bar Squats w/belt,prescribed,,Low Bar Squats w/belt,,3,6,,2025-07-02T06:05:30.611080+00:00
Block1_LowBarSquatswbelt_w1_d4_actual_1751436330611,Block 1,430/315/450,1,4,430/315/450,Low Bar Squats w/belt,actual,,323,6,,3,6,2025-07-02T06:05:30.611083+00:00
Block1_1sPauseBenchPress_w1_d4_prescribed_1751436330611,Block 1,430/315/450,1,4,430/315/450,1s Pause Bench Press,prescribed,,1s Pause Bench Press,,4,up to RPE,,2025-07-02T06:05:30.611090100+00:00
Block1_1sPauseBenchPress_w1_d4_actual_1751436330611,Block 1,430/315/450,1,4,430/315/450,1s Pause Bench Press,actual,,240,7,,4,7,2025-07-02T06:05:30.611093100+00:00
Block1_UnilateralBarbellRows_w1_d4_prescribed_1751436330611,Block 1,430/315/450,1,4,430/315/450,Unilateral Barbell Rows,prescribed,,Unilateral Barbell Rows,,2,15-20,,2025-07-02T06:05:30.611096+00:00
Block1_UnilateralBarbellRows_w1_d4_actual_1751436330611,Block 1,430/315/450,1,4,430/315/450,Unilateral Barbell Rows,actual,,60,7,,3,15,2025-07-02T06:05:30.611098700+00:00
Block1_Dips_w1_d4_prescribed_1751436330611,Block 1,430/315/450,1,4,430/315/450,Dips,prescribed,,Dips,,3,15-20,,2025-07-02T06:05:30.611101100+00:00
Block1_Dips_w1_d4_actual_1751436330611,Block 1,430/315/450,1,4,430/315/450,Dips,actual,,Bw,7,,3,20,2025-07-02T06:05:30.611103400+00:00
Block1_HighbarSquats_w3_d1_prescribed_1751436330611,Block 1,3/22/2022,3,1,3/22/2022,Highbar Squats,prescribed,3,up to RPE,,315,7,,2025-07-02T06:05:30.611109900+00:00
